FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (white),YPLL Rate (white) 95% CI - Low,YPLL Rate (white) 95% CI - High,YPLL Rate (white) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (white),% LBW (white) 95% CI - Low,% LBW (white) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (white),Teen Birth Rate (white) 95% CI - Low,Teen Birth Rate (white) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (white),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (white),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (white),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (white),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (white),Injury Death Rate (white) 95% CI - Low,Injury Death Rate (white) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (white),% Drive Alone (white) 95% CI - Low,% Drive Alone (white) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
06000,California,,,378883,5679,5653,5705,,10423,9920,10926,,3248,3197,3300,,10748,10603,10893,,5505,5465,5545,,5892,5847,5938,,18,17,19,,3.7,3.5,3.9,,3.9,3.7,4.0,,,7,7,7,,8,8,8,8,7,8,12,11,12,7,7,7,6,6,6,10,9,11,,26,25,27,,8.9,,22,21,23,,93,,19,18,20,,5185,18737,28,27,28,,236719,599.1,,16,16,16,,20,18,21,3,3,3,19,19,19,23,23,23,7,7,7,2947957,9,9,9,,31852,81,1240:1,,34789,88,1132:1,,161625,411,244:1,,3067,,5047,2271,5495,3673,2799,37,,29,33,29,29,41,43,,34,49,27,34,45,22378605,26665143,84,84,84,,7515252,11241816,67,67,67,,1908093,18821176,10.1,,15,14,15,,25,10,27,22,8,160999,31310,5.1,,2004812,8931838,22,22,23,,23575,6.0,,164253,421,,108182,55,55,55,,101,95,107,26,26,27,86,84,87,40,40,41,75,74,76,12.9,,,,26,26,26,19,19,19,8,8,8,1,1,1,,72,72,72,,69,68,70,68,68,69,71,71,72,73,73,74,73,72,73,18239892,42,42,43,
06001,California,Alameda,,13444,4651,4535,4766,-1.03,9654,6986,13003,,2772,2601,2943,,11112,10577,11648,,4589,4356,4821,,4356,4158,4553,,16,14,17,-1.04,3.2,3.0,3.4,-1.63,3.6,3.4,3.8,-1.80,,7,7,7,0.53,10,7,14,8,8,8,11,11,12,6,6,6,6,5,6,10,9,11,-1.48,24,23,24,-1.41,9.1,-1.25,20,18,21,-1.13,100,-1.11,17,17,18,-1.39,111,438,25,23,28,-0.58,9645,577.1,0.60,9,8,9,-1.19,,,,2,1,2,14,13,15,18,17,19,3,3,3,72422,5,5,6,-1.73,1853,111,902:1,-1.28,1627,98,1022:1,-0.83,11497,692,145:1,-1.36,2783,-0.28,5733,1984,4749,3113,2455,38,-0.15,25,38,31,32,42,47,-0.78,42,53,30,39,51,1050689,1182996,89,,,-0.51,408992,528631,77,,,-1.42,71396,813807,8.8,-0.38,9,7,11,-1.10,15,5,27,15,5,208142,40321,5.2,1.04,65379,340525,19,18,20,-0.69,1104,6.6,-0.19,10242,629,1.39,3722,45,43,46,-0.96,80,50,121,20,18,22,101,94,107,38,35,40,55,52,58,14.4,0.60,No,-1.32,23,23,24,17,16,17,8,7,8,1,1,1,0.36,59,58,59,-1.68,60,49,72,63,62,63,65,63,67,68,67,69,65,64,66,799481,48,47,49,1.27
06003,California,Alpine,x,,,,,0.00,,,,,,,,,,,,,,,,,,,,,20,17,22,-0.02,4.4,4.1,4.7,0.65,4.8,4.5,5.0,0.98,,,,,0.00,,,,,,,,,,,,,,,,16,14,18,1.16,30,29,31,0.14,6.6,1.53,24,21,26,-0.20,76,0.12,20,20,21,0.19,4,15,27,13,41,-0.43,5,442.9,-0.11,,,,0.00,,,,,,,,,,,,,,,,72,9,7,10,0.07,0,0,1129:0,2.14,0,0,1119:0,2.77,4,357,280:1,0.23,,0.00,,,,,,37,0.09,,,,,,42,-0.14,26,,,,42,834,875,95,92,99,-1.43,148,285,52,32,72,0.98,58,517,11.2,0.61,25,15,34,1.59,39,,,19,,136265,33500,4.1,-1.01,87,252,35,19,50,1.79,0,0.0,2.48,5,442,0.15,15,271,152,447,3.00,,,,,,,,,,,,,,,,8.3,-1.26,No,-1.32,20,9,30,23,7,38,4,0,11,0,0,7,-0.59,52,42,62,-2.43,,,,,,,,,,,,,,,,398,31,15,47,-0.31
06005,California,Amador,,592,6930,5932,7928,0.00,,,,,,,,,,,,,,,,,,,,,17,16,20,-0.57,4.0,3.7,4.2,-0.21,4.4,4.2,4.7,0.18,,6,5,7,-0.83,,,,,,,,,,7,4,10,6,5,7,14,12,16,0.37,29,28,31,0.02,8.8,-0.92,23,21,25,-0.42,71,0.42,23,22,24,1.53,24,68,35,29,41,0.57,70,176.1,-1.52,14,11,18,-0.47,,,,,,,,,,18,11,27,14,11,18,1851,7,6,9,-0.54,24,60,1656:1,0.27,26,65,1542:1,0.38,103,257,389:1,0.71,2475,-0.67,,,,,,42,-1.09,35,29,,26,43,47,-0.78,43,63,25,42,48,28086,30797,91,90,93,-0.84,5229,8952,58,51,66,0.37,1317,14424,9.1,-0.23,13,8,18,-0.42,,,,8,9,121199,26524,4.6,-0.07,1248,5802,22,15,28,-0.32,25,6.3,-0.06,87,237,-1.23,200,102,88,117,0.52,,,,,,,,,,61,35,97,114,97,131,13.6,0.36,No,-1.32,18,15,21,16,13,19,3,2,4,1,0,2,-0.95,79,76,83,0.70,,,,,,,,,,70,56,84,76,73,79,13998,46,39,52,1.04
06007,California,Butte,,3213,7851,7436,8267,0.41,12626,8890,17403,,6143,4676,7924,,10674,7755,14329,,5536,4691,6382,,8176,7676,8676,,19,17,21,-0.27,4.3,4.0,4.5,0.38,4.7,4.4,4.9,0.81,,6,6,6,-0.74,5,2,7,7,5,8,11,8,14,7,6,7,6,5,6,15,13,17,0.55,32,30,33,0.57,7.4,0.64,23,21,25,-0.27,82,-0.16,20,19,21,0.08,53,186,28,25,32,-0.22,1373,626.4,0.86,14,13,15,-0.50,30,21,42,11,8,14,25,18,34,17,15,20,13,11,14,13710,8,7,9,-0.35,136,62,1612:1,0.22,163,77,1305:1,-0.05,1647,774,129:1,-1.76,4754,2.17,7073,5018,4451,3443,4786,38,-0.15,37,34,35,35,39,40,0.11,39,37,28,37,41,131093,146135,90,89,90,-0.63,36852,53606,69,66,72,-0.60,8509,92604,9.2,-0.21,19,13,24,0.58,16,29,40,22,16,116634,21313,5.5,1.61,9391,44739,21,19,23,-0.40,168,7.7,-0.62,734,327,-0.63,1128,101,95,107,0.48,117,75,173,31,19,48,102,67,149,53,43,64,116,109,124,13.8,0.42,Yes,0.75,23,21,24,19,18,20,3,3,4,1,1,2,0.14,75,73,76,0.19,77,63,91,72,67,77,56,40,72,75,72,77,76,74,78,92703,24,22,26,-0.95
06009,California,Calaveras,,744,7892,6825,8960,0.43,,,,,,,,,,,,,,,,,,,,,17,16,19,-0.59,4.0,3.8,4.3,-0.11,4.6,4.4,4.9,0.65,,6,5,7,-0.39,,,,,,,,,,7,4,9,6,5,7,15,13,17,0.72,30,29,31,0.19,8.0,-0.03,21,19,23,-0.75,64,0.75,22,21,23,1.33,22,63,35,28,41,0.53,98,213.5,-1.32,13,11,16,-0.60,,,,,,,,,,12,8,19,13,11,17,2579,8,7,9,-0.33,21,46,2186:1,0.73,20,43,2315:1,1.18,90,194,515:1,1.01,2477,-0.66,4019,,,2010,2516,41,-0.86,29,36,,33,41,44,-0.40,47,39,35,39,44,31726,35367,90,88,92,-0.63,4982,8513,59,51,67,0.36,1619,21207,7.6,-0.84,16,10,22,0.13,,7,,19,14,127014,29595,4.3,-0.59,1812,7528,24,17,31,0.09,40,8.7,-1.04,146,327,-0.62,217,95,82,108,0.33,,,,,,,,,,39,19,69,103,88,117,14.7,0.69,Yes,0.75,20,17,23,18,15,21,2,1,3,1,0,1,-0.53,76,73,79,0.33,,,,,,,,,,75,65,85,67,62,71,16894,59,53,66,2.31
06011,California,Colusa,,229,6877,5626,8128,-0.03,,,,,,,,,,,,,5361,4027,6994,,8245,5893,10597,,25,22,28,1.22,4.4,4.1,4.7,0.65,4.4,4.1,4.7,0.11,,6,5,7,-0.82,,,,,,,,,,6,5,8,6,4,8,14,12,15,0.06,32,31,34,0.72,7.0,1.08,30,27,33,1.23,72,0.36,19,18,20,-0.58,7,45,16,9,24,-1.71,80,371.3,-0.49,24,19,28,0.69,,,,,,,,,,26,21,31,14,8,22,2195,12,11,14,1.85,6,28,3591:1,1.28,9,42,2395:1,1.23,45,209,479:1,0.94,4730,2.14,11254,,,4335,4963,34,0.80,,31,,27,39,46,-0.65,54,52,26,45,46,9993,13721,73,70,75,1.76,2833,5527,51,44,59,1.05,1675,10499,16.0,2.52,13,8,18,-0.43,33,,,12,28,111740,23071,4.8,0.44,1115,5862,19,13,25,-0.72,11,5.1,0.42,43,201,-1.47,77,71,56,89,-0.28,,,,,,,,,,48,33,68,102,72,139,11.8,-0.19,Yes,0.75,18,15,22,11,8,14,7,5,9,1,0,2,-0.92,80,77,83,0.78,,,,,,,,,,74,68,81,79,76,81,9468,32,27,38,-0.17
06013,California,Contra Costa,,9986,4995,4844,5145,-0.88,9104,6227,12852,,2766,2515,3017,,10658,9976,11340,,4479,4213,4744,,4881,4642,5120,,16,14,18,-0.94,3.4,3.2,3.6,-1.38,3.8,3.6,4.0,-1.38,,7,7,7,0.30,9,5,13,8,8,9,12,11,12,6,6,6,6,5,6,10,9,11,-1.48,24,23,25,-1.32,9.1,-1.25,22,20,24,-0.56,98,-1.03,19,19,20,-0.38,116,399,29,27,32,-0.15,6018,521.7,0.31,9,9,10,-1.13,12,6,21,2,1,2,14,13,15,17,16,18,3,3,4,62447,6,6,7,-1.04,1181,102,977:1,-1.02,1044,91,1104:1,-0.56,4387,381,263:1,0.12,2959,-0.06,,1930,5238,2899,2824,40,-0.62,40,35,32,31,44,48,-0.90,45,49,30,37,52,714303,794560,90,90,90,-0.66,218007,300711,72,,,-0.96,48020,541256,8.9,-0.34,8,6,10,-1.30,5,5,17,15,4,202738,43636,4.6,0.07,48978,259670,19,18,20,-0.75,646,5.6,0.22,3773,336,-0.57,2896,50,49,52,-0.81,78,46,126,24,21,27,94,86,102,38,35,41,58,55,61,13.5,0.32,Yes,0.75,20,20,21,16,16,17,5,5,5,1,1,1,-0.39,66,65,66,-0.85,73,64,83,65,63,67,68,64,72,72,70,73,72,71,72,547220,52,51,53,1.64
06015,California,Del Norte,,498,9205,7945,10465,1.02,18729,12725,26584,,,,,,,,,,,,,,10433,8654,12211,,23,21,25,0.82,4.7,4.5,5.0,1.24,4.9,4.6,5.1,1.25,,6,5,7,-0.64,7,4,11,,,,,,,5,3,8,6,4,7,18,16,20,1.87,33,32,35,0.98,6.3,1.86,27,25,29,0.68,59,1.04,20,19,21,-0.07,12,39,31,22,39,0.05,63,226.5,-1.25,34,29,39,2.00,41,26,62,33,16,60,,,,30,22,42,34,27,42,1652,8,7,10,-0.06,16,58,1738:1,0.36,23,82,1216:1,-0.25,131,468,213:1,-0.30,2595,-0.52,,,,851,2739,27,2.46,26,19,,23,28,37,0.49,29,35,,28,38,15758,19766,80,78,82,0.78,3182,7619,42,35,48,1.94,884,9350,9.5,-0.10,23,14,33,1.40,35,,,12,22,105696,19718,5.4,1.41,1765,5986,29,20,39,0.97,10,3.6,1.03,167,609,1.26,158,114,96,132,0.82,222,144,328,,,,,,,36,17,67,136,112,160,11.6,-0.26,No,-1.32,20,16,23,16,13,19,5,3,6,1,0,1,-0.56,74,71,77,0.14,58,45,70,,,,,,,76,61,92,75,69,80,8866,14,10,19,-1.84
06017,California,El Dorado,,2016,5329,4912,5746,-0.73,,,,,,,,,,,,,4208,3313,5102,,5713,5203,6223,,14,13,16,-1.36,3.5,3.3,3.8,-1.04,4.2,3.9,4.5,-0.39,,7,6,7,0.00,10,4,15,9,6,11,,,,8,6,9,6,6,7,12,10,14,-0.47,26,25,27,-0.81,8.7,-0.80,19,17,21,-1.30,83,-0.26,23,22,24,1.61,38,125,30,26,35,0.01,487,252.5,-1.12,8,7,9,-1.31,,,,,,,,,,15,12,18,6,5,7,9349,6,5,7,-1.17,152,79,1269:1,-0.29,147,76,1312:1,-0.03,737,382,262:1,0.12,2985,-0.03,7029,567,1147,2800,3031,42,-1.09,33,41,64,38,42,48,-0.90,49,48,41,42,48,130793,139093,94,93,95,-1.24,28643,40957,70,67,73,-0.72,7490,90752,8.3,-0.59,9,6,12,-1.15,17,1,12,17,8,165979,33717,4.9,0.59,5578,37837,15,12,17,-1.42,115,6.0,0.07,399,218,-1.36,696,73,68,79,-0.23,,,,23,12,40,,,,40,30,53,82,76,89,12.0,-0.13,Yes,0.75,18,16,19,15,14,17,2,2,3,1,0,1,-1.10,76,74,78,0.33,,,,72,65,79,75,59,91,76,70,81,71,69,73,84184,39,37,41,0.44
